height,timestamp,chain_id,proposer_address,num_transactions,num_signatures,num_validators,unique_validator_addresses,max_voting_power,min_voting_power,total_voting_power,max_proposer_priority,max_priority_address,min_proposer_priority,min_priority_address,matches_min_priority,matches_prev_max_priority,proposer_rank_in_prev
181554,2025-04-29T09:43:41.459804266Z,bbn-1,3C70D8336DEE739BDF2D1C5A0FCA0A88B87B9A6D,76,100,100,100,58578606,520,1285313087,832393362,70DAC78498AFC6D766D860C433265A274D48B7D8,-1449838669,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181555,2025-04-29T09:43:51.422938298Z,bbn-1,70DAC78498AFC6D766D860C433265A274D48B7D8,71,100,100,100,58578606,520,1285313087,824330971,44C395A4A96C6D1A450ED33B5A8DDB359CEFED36,-1449838149,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181556,2025-04-29T09:44:01.578403401Z,bbn-1,44C395A4A96C6D1A450ED33B5A8DDB359CEFED36,70,100,100,100,58578606,520,1285313087,816709715,A8A2BF2709CA05755F881EBD939991AEA9F88CF1,-1449837629,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181557,2025-04-29T09:44:11.670889857Z,bbn-1,A8A2BF2709CA05755F881EBD939991AEA9F88CF1,78,100,100,100,58578606,520,1285313087,758873925,410C1EBAF54C090F0A9132DFA9F79E0F480B2C06,-1449837109,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181558,2025-04-29T09:44:21.723569563Z,bbn-1,410C1EBAF54C090F0A9132DFA9F79E0F480B2C06,73,100,100,100,58578606,520,1285313087,727330458,C268FE001A533B6F0860167381384363A790FD0D,-1449836589,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181559,2025-04-29T09:44:31.895134025Z,bbn-1,2A3D40C3E7CE8D6B55077335CAB141C2E11AC254,74,100,100,100,58578606,520,1285313087,742332798,BB386AA0E7B37EB33516AEBB58CAE3574AF85D1F,-1449836069,173A9B610463088D52B6EE6F476A483B111CCE2E,False,False,2.0
181560,2025-04-29T09:44:42.089985906Z,bbn-1,BB386AA0E7B37EB33516AEBB58CAE3574AF85D1F,85,100,100,100,58578606,520,1285313087,748506952,C268FE001A533B6F0860167381384363A790FD0D,-1449835549,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181561,2025-04-29T09:44:52.221192368Z,bbn-1,C268FE001A533B6F0860167381384363A790FD0D,79,100,100,100,58578606,520,1285313087,712377928,5C78A0762F13B0B2A793E82D1A178EB45642234D,-1449835029,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181562,2025-04-29T09:44:58.016448205Z,bbn-1,5C78A0762F13B0B2A793E82D1A178EB45642234D,82,100,100,100,58578606,520,1285313087,714955122,2972B0DF619F73D1A5C8933AFF22AD8C9258F370,-1449834509,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181563,2025-04-29T09:45:08.106291794Z,bbn-1,EC033669FE506006F870BD8B12CB524A3ABC3693,77,100,100,100,58578606,520,1285313087,723396552,2972B0DF619F73D1A5C8933AFF22AD8C9258F370,-1449833989,173A9B610463088D52B6EE6F476A483B111CCE2E,False,False,2.0
181564,2025-04-29T09:45:19.007202087Z,bbn-1,F2E6BB25D8D269C9737BD3789B11DC76C4FC56E7,66,100,100,100,58578606,520,1285313087,731837982,2972B0DF619F73D1A5C8933AFF22AD8C9258F370,-1449833469,173A9B610463088D52B6EE6F476A483B111CCE2E,False,False,3.0
181565,2025-04-29T09:45:29.027065834Z,bbn-1,2972B0DF619F73D1A5C8933AFF22AD8C9258F370,71,100,100,100,58578606,520,1285313087,739830972,A8F38FCB39B580C4B856DCAED882D504A216EE00,-1449832949,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181566,2025-04-29T09:45:39.315955922Z,bbn-1,A8F38FCB39B580C4B856DCAED882D504A216EE00,74,100,100,100,58578606,520,1285313087,662314028,9FEE83FBF0BD5A4D71519EFC16D0D438C203DD5A,-1449832429,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181567,2025-04-29T09:45:49.355081338Z,bbn-1,64CDACB04FB9C3B290579644F9EDBD05CB00BB7D,71,100,100,100,58578606,520,1285313087,670753689,9FEE83FBF0BD5A4D71519EFC16D0D438C203DD5A,-1449831909,173A9B610463088D52B6EE6F476A483B111CCE2E,False,False,2.0
181568,2025-04-29T09:45:59.36163945Z,bbn-1,9FEE83FBF0BD5A4D71519EFC16D0D438C203DD5A,75,100,100,100,58578606,520,1285313087,661187691,33ECD5899A91105BB4E51066EB138189BC3825AD,-1449831389,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
181569,2025-04-29T09:46:05.153795721Z,bbn-1,33ECD5899A91105BB4E51066EB138189BC3825AD,77,100,100,100,58578606,520,1285313087,649645797,2AB301F354A74F45AFB347B2C00CDCEB09CC719D,-1449830869,173A9B610463088D52B6EE6F476A483B111CCE2E,False,True,1.0
